DIPP-MOTION XYGraphData,,,,,,,,
Info,,,,,,,,
[ポイント_X_座標値] - [ポイント_Y_座標値],,,,,,,,
横軸単位,mm,,,,,,,
縦軸単位,mm,,,,,,,
系列名,[1]P 1,[2]P 2,[3]P 3,[4]P 4,,,,
色,255,65280,16711680,65535,,,,
時間,P 1(X),P 1(Y),P 2(X),P 2(Y),P 3(X),P 3(Y),P 4(X),P 4(Y)
0.197,8.07E-12,-4.26E-13,-14.11968265,-210.659298,-43.43987122,-326.7216482,-21.93819041,-327.7079894
0.198,8.53E-12,-2.37E-12,-14.26447707,-210.6339497,-43.4095069,-326.7389797,-21.94810623,-327.7235922
0.199,1.51E-11,1.76E-12,-14.41973457,-210.586024,-43.39357422,-326.726089,-21.97254214,-327.7119145
0.2,-2.61E-12,-2.49E-12,-14.48973292,-210.5637511,-43.29708055,-326.7302708,-21.91649916,-327.7205463
0.201,2.84E-12,3.51E-12,-14.59353679,-210.5180981,-43.23991893,-326.7024167,-21.89986397,-327.7006743
0.202,-8.07E-12,-1.24E-12,-14.77496249,-210.511477,-43.26483608,-326.7053772,-21.96537693,-327.7154442
0.203,-1.59E-12,1.82E-12,-14.91162591,-210.4807931,-43.24847289,-326.6774067,-21.9896726,-327.7034053
0.204,-1.56E-11,-5.63E-12,-14.94366456,-210.5060623,-43.12999188,-326.6998701,-21.91190712,-327.746218
0.205,-7.73E-12,8.10E-13,-15.0661548,-210.4570203,-43.10349442,-326.6438522,-21.92617553,-327.7152619
0.206,2.84E-12,2.69E-12,-15.21201142,-210.4896395,-43.1009203,-326.6666746,-21.96441126,-327.7681538
0.207,4.66E-12,-5.40E-13,-15.39580704,-210.4556586,-43.13586715,-326.621425,-22.04020559,-327.7582767
0.208,4.66E-12,-3.84E-13,-15.40626796,-210.48893,-42.9960863,-326.6433049,-21.94135018,-327.8208115
0.209,9.66E-12,-2.98E-12,-15.58501976,-210.4362861,-43.02222831,-326.5804958,-22.00793063,-327.8035482
0.21,6.93E-12,1.31E-12,-15.69593223,-210.4394802,-42.97718798,-326.5761002,-22.0024056,-327.849065
0.211,9.21E-12,5.68E-13,-15.92715246,-210.4044117,-43.04813744,-326.5373665,-22.11151109,-327.8640864
0.212,1.82E-12,2.27E-12,-15.98755065,-210.3875791,-42.94311304,-326.5213705,-22.04342019,-327.9063159
